gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
ZFC3H1,4,0.7216839959233321,-0.09795358820853928,0.289,0.281,1
ZNF250,4,0.7218804727567559,-0.017555054231906606,0.118,0.131,1
EGLN2,4,0.7225810387206048,-0.04883011627816153,0.526,0.504,1
MRPL17,4,0.7226004670368773,-0.051638598795135326,0.539,0.454,1
PPP1R12A,4,0.7226422374397643,-0.0920590918975569,0.553,0.492,1
PRRT1,4,0.7226812395258091,-0.00657516638600425,0.158,0.141,1
FAM208B,4,0.7230984686821105,-0.051815798511627625,0.263,0.224,1
C15orf40,4,0.7232177296316018,-0.008190413338172664,0.5,0.425,1
LSM3,4,0.7232688901982283,0.0015345999486846562,0.829,0.787,1
ABCA5,4,0.723392648309322,0.02796624782362611,0.197,0.174,1
DHRS4-AS1,4,0.72364658522449,-0.08175416038613348,0.316,0.298,1
ATP13A2,4,0.7241336111211409,-0.05804046662327049,0.145,0.153,1
CDC27,4,0.724329722440032,-0.07470586230333404,0.329,0.277,1
ZSWIM8,4,0.7252052370722866,-0.07921946142185379,0.211,0.212,1
TSPOAP1,4,0.7253856818850448,-0.020170316315288477,0.118,0.103,1
SPTLC1,4,0.7254706816354343,-0.016784054920944418,0.105,0.091,1
AP3S1,4,0.7255376791154626,-0.016293948590142326,0.829,0.685,1
ZNF333,4,0.7259871808093141,-0.04266791650569767,0.092,0.101,1
CDC14B,4,0.7260737239820977,-0.06970823091307415,0.158,0.131,1
TMCO6,4,0.7267610353768119,-0.04405803998484204,0.118,0.1,1
NUDT7,4,0.7268123087433789,-0.048186284297325285,0.118,0.128,1
DPM1,4,0.7270129514401477,-0.03400200073880599,0.461,0.41,1
CEP57L1,4,0.727113439411009,-0.0033465783132979876,0.145,0.13,1
RBPMS2,4,0.727270750302776,-0.03402152688825638,0.316,0.276,1
MSRB2,4,0.7273500110770438,-0.04828143211798058,0.605,0.491,1
MAPK8IP3,4,0.7273670756553934,-0.04279556602055022,0.118,0.129,1
SETD7,4,0.7276744549736347,-0.015199177543544794,0.118,0.104,1
ANKRD54,4,0.7278689815051468,-0.0709323315217702,0.289,0.287,1
PQLC3,4,0.728233878556743,-0.09335641611569695,0.263,0.259,1
CRNKL1,4,0.7282471458705307,-0.024191631405984904,0.145,0.161,1
POLR3C,4,0.72892567602251,-0.0032694765042052543,0.145,0.129,1
VIRMA,4,0.72919969906144,-0.03765210963507801,0.25,0.253,1
RBM8A,4,0.7293045649155561,8.470123050505762e-4,0.842,0.743,1
STK36,4,0.7295679551856109,-0.05265599151390984,0.105,0.113,1
PAWR,4,0.7311860866451247,-0.13165552718175538,0.447,0.398,1
LINC00205,4,0.7312449074503065,-0.042277730857720214,0.171,0.147,1
RPS27L,4,0.7313365092038214,0.0181283851591989,0.934,0.863,1
AXL,4,0.731427101295181,-0.13814821369336072,0.342,0.333,1
ZNF568,4,0.7315143370571766,-0.03523596857322567,0.197,0.172,1
LRRC75A,4,0.7315598753501038,-0.023817728345146852,0.145,0.126,1
PPOX,4,0.7316917956221243,-0.057621753761323405,0.211,0.181,1
DDX50,4,0.7319350964624904,-0.10816775049934302,0.447,0.391,1
RNASEH2B,4,0.7327049022841008,-0.054632412001792585,0.421,0.362,1
ZNF219,4,0.7329067262360167,-0.011579545870454067,0.184,0.166,1
LRWD1,4,0.7331650210035974,-0.02486528424882596,0.118,0.103,1
TMEM94,4,0.7331879385361424,-0.039278250705187104,0.211,0.184,1
CEP164,4,0.7335927587991431,-0.09513042495400534,0.276,0.269,1
IKZF5,4,0.7336806460847288,-0.030879340988674044,0.105,0.09,1
STRN4,4,0.7337052743937744,-0.04341046059284462,0.289,0.25,1
LYRM9,4,0.7338377950032507,-0.11614856421891928,0.382,0.342,1
TBL3,4,0.7341715046347175,-0.01782380736378232,0.158,0.136,1
APBB3,4,0.7342096195133512,-0.05816226996833497,0.118,0.125,1
MPHOSPH9,4,0.734392564032934,-0.03813977267540386,0.289,0.251,1
POLK,4,0.7344039034567853,-0.1310491309485436,0.382,0.34,1
CCT8,4,0.7347069250635669,-0.005795132468684683,0.816,0.703,1
PACS1,4,0.7347115227585137,-0.0669482302095519,0.276,0.228,1
TMEM87B,4,0.7348463218660524,-0.02555832540890554,0.092,0.103,1
TOLLIP,4,0.7351269592042913,-0.06377437399192987,0.513,0.437,1
NSA2,4,0.735395086545757,0.0066467099687176345,0.868,0.718,1
NFKB1,4,0.7355680694346266,-0.02428139665974796,0.105,0.117,1
ERVK3-1,4,0.7358162995527899,-0.11190678115071176,0.355,0.328,1
ASB1,4,0.7360273027668444,-0.046883380797226024,0.132,0.14,1
SUMF2,4,0.7363032735142117,-0.12724331537026357,0.592,0.508,1
LAMTOR5,4,0.736540547231906,0.051579030931070635,0.961,0.923,1
BSDC1,4,0.7366164421140788,-0.10272119974107574,0.434,0.402,1
RPGRIP1L,4,0.7367088587612578,-0.048463812982315585,0.158,0.137,1
APLP2,4,0.7369414589098998,-0.03407130763798916,0.868,0.708,1
FAM102A,4,0.7372659221765732,-0.06487010709964199,0.184,0.155,1
ZNF512B,4,0.7375707028790082,-0.08880017060211723,0.171,0.167,1
KBTBD2,4,0.7376426400139141,-0.057334118398011585,0.184,0.156,1
FBXO38,4,0.7380549306136142,-0.05743323915823199,0.118,0.125,1
OSBPL9,4,0.7384652063819002,-0.053196733832880594,0.592,0.52,1
STX5,4,0.7386281686560863,-0.09478934079138851,0.526,0.429,1
STX18,4,0.7386423463132008,-0.09723078233637858,0.237,0.194,1
NDUFV3,4,0.7386665007201219,-0.04902282920414858,0.816,0.7,1
SRFBP1,4,0.7390481718570341,-0.09603431428148587,0.289,0.278,1
CRABP1,4,0.7391169035806268,-0.05677248469062851,0.211,0.214,1
KLHL25,4,0.7392028469896632,-0.041545489726494335,0.105,0.089,1
ZBTB5,4,0.7394641734067531,-0.06789154949763382,0.158,0.16,1
SNAP23,4,0.7395622927432925,-0.0861218268578049,0.487,0.415,1
TRIM5,4,0.739606636492093,-0.03980077692063574,0.145,0.125,1
EVA1B,4,0.7397227733981069,-0.07866165653331603,0.553,0.492,1
PIP4P2,4,0.7397737725985257,-0.08969732438506889,0.355,0.296,1
CD55,4,0.7403163166977882,-0.04943408988540058,0.105,0.089,1
ADGRA3,4,0.7403520625451173,-0.03812497817382768,0.211,0.182,1
MTAP,4,0.7410765680282086,-0.10331380659944917,0.289,0.275,1
NDE1,4,0.7413214555840072,-0.027068477955145782,0.118,0.102,1
PAG1,4,0.741328381054072,-0.07257530091810971,0.171,0.175,1
HOXA4,4,0.7413726771849889,-0.009365688724719066,0.105,0.093,1
KLHL42,4,0.7414181287518671,-0.08798927394989337,0.316,0.294,1
PDZD8,4,0.7414190056749317,-0.04481986632964827,0.342,0.302,1
C12orf10,4,0.7414619790471225,-0.0871978731004257,0.592,0.528,1
PDLIM1,4,0.7414833314879332,-0.11340221085294483,0.461,0.421,1
CTPS1,4,0.7419983193398012,-0.03141954410966997,0.158,0.136,1
FAM126B,4,0.7423927788457637,-0.1011573888137669,0.355,0.331,1
SAT2,4,0.7424906020492685,-0.05393081960812174,0.789,0.718,1
DCTN1,4,0.7425360011862001,-0.07827378786953584,0.395,0.324,1
SREBF2,4,0.7430132519102041,-0.06340529211861362,0.342,0.296,1
KIAA1109,4,0.7431460329895754,-0.1216972548818128,0.368,0.344,1
CLIP2,4,0.7434161644448062,-0.01673864246007155,0.118,0.102,1
IK,4,0.7434637739248362,-0.13384096354894737,0.711,0.587,1
METTL6,4,0.74384384179182494,-0.043235435124441106,0.132,0.138,1
MBNL2,4,0.7439058692169733,-0.06573128650685195,0.25,0.247,1
BRK1,4,0.7441684059207847,0.009490956127021999,1,0.943,1
ABR,4,0.7442978948219612,-0.07074468506623052,0.237,0.236,1
GNS,4,0.7451657492838515,-0.08687691545523529,0.382,0.307,1
PREPL,4,0.7457919800658364,-0.06453853058188783,0.316,0.314,1
PPME1,4,0.7458514242952446,-0.035920722973371524,0.197,0.171,1
CASC4,4,0.7458558777581523,-0.06877977944700914,0.553,0.453,1
ARF3,4,0.7462719977036751,-0.06326947655366366,0.658,0.563,1
KANSL2,4,0.746442841965638,-0.027794607334524657,0.211,0.188,1
TSEN2,4,0.7466732611550373,-0.04386038949443079,0.171,0.179,1
ZNF487,4,0.7467773935486202,-0.018276483384281977,0.158,0.139,1
CDKL3,4,0.7467990392078518,-0.012297340364034404,0.105,0.118,1
ARCN1,4,0.7473379337330853,-0.10652572828554815,0.382,0.347,1
HNRNPUL2,4,0.7475913272022343,-0.09701413514587884,0.395,0.326,1
SND1-IT1,4,0.7478182241276428,-0.02442438266777274,0.105,0.115,1
SALL2,4,0.7479297919459916,-0.07071514127117152,0.184,0.181,1
SIN3B,4,0.7480696431560583,-0.030449373900968774,0.184,0.161,1
API5,4,0.7482221792954769,-0.12134619095405375,0.421,0.381,1
THADA,4,0.7482533141140424,-0.052458203760119275,0.132,0.137,1
TEAD2,4,0.748959563453444,-0.03825933460676356,0.566,0.49,1
WBP1L,4,0.7491191502203353,-0.09728171170381197,0.355,0.293,1
DNAJB9,4,0.7497287299433402,-0.14536831169361714,0.566,0.481,1
ELAC1,4,0.7500417694451601,-0.088897821643275865,0.316,0.261,1
ZMYND8,4,0.7502683780257424,-0.07268308858766048,0.447,0.375,1
SH3D19,4,0.7507133707015908,-0.046063597667400036,0.132,0.14,1
TMEM129,4,0.7508968064762797,-0.0487232330807037,0.447,0.388,1
ZC3H4,4,0.7509818140488469,-0.02612888661121987,0.224,0.201,1
C17orf80,4,0.7510999865996103,-0.06674830007480441,0.211,0.177,1
AKT1S1,4,0.7511893392809835,-0.06995819011609411,0.5,0.424,1
PCIF1,4,0.7521389128963176,-0.04257874762862651,0.368,0.318,1
PPP1R21,4,0.7523298429610186,-0.06424955766089005,0.171,0.174,1
NAA16,4,0.7530279116923627,-0.03872603067620506,0.237,0.212,1
OSBP,4,0.7530540547611314,-0.047184007085172744,0.211,0.182,1
SLU7,4,0.7533670998427662,-0.05442324023056555,0.474,0.404,1
ZNF280C,4,0.7533917444876598,-0.019958695039070745,0.092,0.104,1
IKBKG,4,0.7535287218658375,-0.032088894321105996,0.145,0.128,1
ENY2,4,0.7537298577234914,0.016411079770752623,0.934,0.824,1
