gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
FRMD6-AS1,0,0.25367387717597123,0.032709148260200174,0.091,0.167,1
SNAPC3,0,0.25372106965484564,0.05132135249030989,0.283,0.467,1
DBNL,0,0.2537433759436908,0.09784254884395138,0.362,0.633,1
POC1B,0,0.25379133430725526,0.0069480753350151525,0.07,0.133,1
UBN2,0,0.25380305464309394,0.013218136545516929,0.114,0.2,1
BEND6,0,0.2538118348602585,0.13915712570496191,0.133,0.067,1
RB1CC1,0,0.25391000918050693,0.25182384046275064,0.456,0.467,1
ESF1,0,0.2542214572533975,0.10344998820782775,0.402,0.667,1
DGUOK,0,0.25425910833033855,-0.05225027710935681,0.614,0.9,1
CCT3,0,0.2545750472423072,-0.04532189530066433,0.64,0.933,1
HSDL2,0,0.25464464181608587,0.2108273116665456,0.287,0.233,1
LRIG2,0,0.2546945626779643,-0.0080294873916337,0.173,0.267,1
INTS11,0,0.2547433872242082,0.24742556997501597,0.36,0.333,1
LYRM9,0,0.2547778533636453,0.07254837923601254,0.273,0.467,1
ACADS,0,0.254833238177732,0.1478587542393841,0.133,0.067,1
POLR3F,0,0.2548365022561904,0.033987968981055175,0.091,0.167,1
GIGYF1,0,0.25491788629643103,0.19214928631437228,0.201,0.133,1
GPCPD1,0,0.2549458276781446,-0.041305436245435465,0.072,0.133,1
SUPT6H,0,0.25522685140634116,0.009653573917404845,0.213,0.333,1
RNF19A,0,0.2552502386378896,0.0929479956061291,0.269,0.467,1
VPS26A,0,0.2554896743544896,0.2829899342286887,0.404,0.4,1
NR2F2,0,0.25572544100191946,-0.06626559103350105,0.738,0.967,1
DNAJC15,0,0.25575314707051655,0.1987072906549573,0.584,0.6,1
TMEM67,0,0.2557949060513445,-0.0023740806180015117,0.14,0.233,1
CWF19L2,0,0.25583897630223923,0.05643805364063764,0.224,0.367,1
R3HDM4,0,0.2558390032991788,0.03561777916437314,0.224,0.367,1
MTFR1L,0,0.25588325698863795,0.2707165076544166,0.474,0.533,1
PDHB,0,0.25600668397261583,0.29077328314252865,0.491,0.533,1
PRKAA2,0,0.2560408334314758,0.04264412075887905,0.161,0.267,1
HDHD2,0,0.2561084053979041,0.2571142346613233,0.343,0.333,1
TPST1,0,0.2562410009640777,-0.015783943553193153,0.072,0.133,1
GSTP1,0,0.25631469201183854,0.15058607715954708,0.963,1,1
TMEM38B,0,0.2564187274803252,0.2212436339366791,0.259,0.2,1
CDK17,0,0.25645572533894195,0.1424782046199875,0.131,0.067,1
BIRC2,0,0.2565121857639139,0.2851355938185158,0.453,0.5,1
SNHG25,0,0.2566386970431917,0.17663934546182797,0.201,0.133,1
UBE2W,0,0.2567560591753589,0.02593044168220182,0.271,0.433,1
RNF6,0,0.25728634741968726,0.20159936386740027,0.257,0.2,1
COX17,0,0.25735144983264757,0.1800972681278208,0.664,0.833,1
ATP6AP1L,0,0.25754073729263455,-0.018444584972858308,0.072,0.133,1
ALOX12-AS1,0,0.2576209000734137,0.17472510168431937,0.164,0.1,1
CTBP1,0,0.2577092658515833,0.2338948756678108,0.442,0.467,1
GSPT2,0,0.2578989382294198,0.018842016418227928,0.093,0.167,1
TRAPPC3,0,0.2581293495803092,0.23624235008336936,0.512,0.567,1
GLOD4,0,0.2581464556770639,0.26460702702578276,0.425,0.433,1
RAB6B,0,0.25831959954933603,0.030651804211917655,0.234,0.367,1
AEBP2,0,0.258662530106003,0.19147634603018315,0.262,0.2,1
NCOR2,0,0.258721149093444,0.2242259189109899,0.28,0.233,1
CHMP7,0,0.25894742077472854,0.12083498351301755,0.133,0.067,1
MFSD14A,0,0.2589747960405756,0.26467533127566883,0.383,0.367,1
RPN2,0,0.2591205456665982,0.2281903104959504,0.477,0.5,1
TST,0,0.25944593218561385,0.19918912762670343,0.262,0.2,1
PNPLA4,0,0.2594606469708007,0.04899591260964492,0.29,0.467,1
ACYP1,0,0.25969681164886416,-0.047876701580193554,0.15,0.233,1
LRRC8A,0,0.25977635351658873,0.19994462314992223,0.234,0.167,1
TMUB1,0,0.26013672844284375,0.0414223339299975,0.327,0.533,1
AKT1S1,0,0.2603010373220807,0.039867069938736066,0.336,0.533,1
TSTD3,0,0.26049021302727327,0.04160979515254379,0.136,0.233,1
NELFE,0,0.2604966343044431,0.24521209038523212,0.507,0.567,1
JUN,0,0.26066191874271316,0.39291301689754304,0.364,0.333,1
MRPL27,0,0.2608256491531688,0.24521543378119254,0.533,0.633,1
ERG28,0,0.26099070271050007,-0.01742384586233303,0.53,0.8,1
STIP1,0,0.26105232793362354,0.08679546508804825,0.257,0.433,1
TRIM23,0,0.26122041199596074,0.16111637832854125,0.129,0.067,1
RNF25,0,0.26122045728364207,0.14955037755594444,0.129,0.067,1
IGBP1,0,0.2612528587014967,-0.005591280753869499,0.491,0.733,1
FAM114A1,0,0.261382405445857,0.0461327167621402,0.206,0.333,1
NRN1,0,0.26140104146864196,-0.03457364003071667,0.098,0.167,1
SEMA4C,0,0.26140239499217927,0.018911863011954688,0.093,0.167,1
FBXL20,0,0.26148776158001524,0.046085642790204134,0.136,0.233,1
IL17RE,0,0.26171272333016304,0.019522267046124503,0.07,0.133,1
ESYT1,0,0.2619353789700573,0.25609441018053436,0.283,0.233,1
RBM5,0,0.2619860174696408,0.268031028785085,0.451,0.467,1
MRPL34,0,0.26214717796769027,0.20737150066835464,0.589,0.7,1
RPRD1A,0,0.26221933962455707,0.07044917000748463,0.28,0.467,1
EHBP1,0,0.26265594938095177,0.0325170551393173,0.14,0.233,1
DOCK6,0,0.2630493895962422,0.007538953314287208,0.07,0.133,1
BNIP2,0,0.2632216554139129,0.2379730859503713,0.423,0.433,1
VPS39,0,0.26339051137059516,0.024425078774422543,0.114,0.2,1
TOGARAM1,0,0.2636652316956259,0.1865226815635736,0.35,0.3,1
ARHGEF35,0,0.26388753043540597,0.03740321040638549,0.112,0.2,1
FNBP1,0,0.26399824493159313,0.22101026817015887,0.329,0.3,1
CAPN10-DT,0,0.2641640578769501,0.004681267742767448,0.143,0.233,1
CENPT,0,0.26437447149412097,0.22641305531175301,0.224,0.167,1
NPC2,0,0.26437501678555986,0.16893724915615715,0.871,1,1
LMF1,0,0.264402451642701,0.1382505285734158,0.129,0.067,1
INTS6,0,0.2645971338672249,0.05202571228182623,0.238,0.4,1
ZNF160,0,0.26464732742483643,0.18784616123735115,0.196,0.133,1
FAM217B,0,0.2646776601345911,-0.02411051571391204,0.332,0.5,1
BCAS4,0,0.2648687530625688,-0.027472634209295382,0.098,0.167,1
MCEE,0,0.2652045926629429,0.11773724135581118,0.133,0.067,1
TPRG1L,0,0.26543517322910154,0.013812382491122266,0.072,0.133,1
RABEP1,0,0.26565953082497185,-0.025950020993015244,0.348,0.5,1
NCKAP1,0,0.2657500893070355,0.25124841785812135,0.379,0.367,1
CYREN,0,0.2661546645723884,0.02161256996473937,0.325,0.5,1
PIGT,0,0.26624077370616805,0.23684614974059376,0.292,0.233,1
MIS18BP1,0,0.2665518893076203,-0.027237044528703652,0.147,0.233,1
MRPL16,0,0.2667281733836519,0.08637503358541948,0.353,0.6,1
CCDC43,0,0.2669785380295429,0.05571602322242131,0.18,0.3,1
ADAM17,0,0.2672858062299442,0.005986790078267412,0.343,0.533,1
PQBP1,0,0.2676395757374604,0.02880846006894755,0.379,0.6,1
TBC1D13,0,0.2677308242847251,0.03646386119130704,0.114,0.2,1
ALG2,0,0.2679508903083118,0.13461459124512715,0.171,0.1,1
SNHG8,0,0.26825198247339854,-0.03676081463126768,0.631,0.867,1
RASGEF1B,0,0.2683718835379989,0.13641846454534118,0.133,0.067,1
ALS2,0,0.2684431363198098,0.0329932462022745,0.07,0.133,1
PITRM1,0,0.2685445312550293,0.050788463559762076,0.136,0.233,1
SLC37A3,0,0.2686865292515701,0.0023607916069492696,0.119,0.2,1
IREB2,0,0.26883722612037897,0.05662100173752288,0.32,0.533,1
SLF1,0,0.26906327721032813,-0.0030120985989390003,0.096,0.167,1
G6PD,0,0.2691301417531914,0.03051897390991734,0.143,0.233,1
OARD1,0,0.269179188354809,0.026256209889711557,0.393,0.6,1
CCDC85B,0,0.26927670356157973,0.030609663238752582,0.523,0.833,1
