Gene,Prop0,Mean0,Prop1,Mean1,Prop2,Mean2,Prop3,Mean3,Prop4,Mean4
LRRN4CL,0.010917030567685589,0.01216029671961326,0.023255813953488372,0.01573127931950133,0.005813953488372093,0.0022472859527548584,0.03389830508474576,0.02863772364752029,0.02631578947368421,0.009313509889749005
BSCL2,0.010917030567685589,0.014594408292201853,0.029900332225913623,0.02225611608349153,0.05232558139534884,0.022758493325197998,0.025423728813559324,0.02887632359345367,0.05263157894736842,0.02519415562330995
GNG3,0.019650655021834062,0.01751222244236548,0.05647840531561462,0.02249759532501336,0.13372093023255813,0.07193131157298321,0.05084745762711865,0.02434858221951437,0.21052631578947367,0.1421932624583231
HNRNPUL2,0.27074235807860264,0.4080110923783426,0.4053156146179402,0.4221349158533629,0.3546511627906977,0.24872694063455536,0.2966101694915254,0.2853950566283925,0.39473684210526316,0.2452888237440534
TTC9C,0.27729257641921395,0.40082426698906254,0.4318936877076412,0.42917980744231493,0.45930232558139533,0.3911255321467332,0.3898305084745763,0.34234365609660244,0.40789473684210525,0.27023811767789874
ZBTB3,0.0611353711790393,0.07588369175199419,0.07308970099667775,0.05482376289388709,0.06976744186046512,0.03650679536488416,0.06779661016949153,0.05016948424856668,0.06578947368421052,0.045451930487158836
POLR2G,0.6157205240174672,1.4519180612685028,0.7043189368770764,1.1155785488023249,0.7616279069767442,1.0617808787298761,0.7033898305084746,1.1929070653720668,0.7763157894736842,1.089483740201178
TAF6L,0.10698689956331878,0.15139524455933578,0.12292358803986711,0.12479338221708845,0.0872093023255814,0.04996112927172661,0.11864406779661017,0.07050679401876177,0.05263157894736842,0.012889276780544042
TMEM223,0.3406113537117904,0.5432395130116583,0.3853820598006645,0.391219955409132,0.4418604651162791,0.3269573987593451,0.3813559322033898,0.36780716400624663,0.5789473684210527,0.5289155348589937
TMEM179B,0.6812227074235808,1.7747086261643847,0.6744186046511628,1.1836936487587302,0.5813953488372093,0.5815358755565924,0.6101694915254238,0.7737292554497929,0.6842105263157895,0.7164175148803519
NXF1,0.2183406113537118,0.32086915379900094,0.2724252491694352,0.2633332507696711,0.18023255813953487,0.1202579447864536,0.22033898305084745,0.1774230545543306,0.19736842105263158,0.14646080739209144
STX5,0.37336244541484714,0.6495636687807954,0.4684385382059801,0.5262529761190989,0.45930232558139533,0.3914982315026105,0.5,0.4964158586288099,0.5263157894736842,0.41404514051630714
WDR74,0.18340611353711792,0.27903098600893533,0.27906976744186046,0.24163873951909948,0.26744186046511625,0.18930341405607834,0.3474576271186441,0.29292369671592516,0.35526315789473684,0.26331220663873245
SLC3A2,0.5043668122270742,1.0183652799651004,0.49169435215946844,0.6337143953835653,0.46511627906976744,0.38574714936598903,0.4152542372881356,0.43769636255573974,0.4868421052631579,0.4346571031828545
SLC22A10,0,0,0,0,0,0,0,0,0,0
SLC22A9,0,0,0,0,0,0,0,0,0,0
HRASLS5,0,0,0,0,0.011627906976744186,0.004575261776578657,0,0,0.013157894736842105,0.002341970834032021
LGALS12,0,0,0,0,0,0,0,0,0.05263157894736842,0.025944891686353687
RARRES3,0.039301310043668124,0.05043482781196946,0.07641196013289037,0.0910031167233843,0,0,0.059322033898305086,0.07477962953329172,0.013157894736842105,0.007791730169267547
HRASLS2,0,0,0,0,0,0,0,0,0,0
PLA2G16,0.10262008733624454,0.1407932864303644,0.15282392026578073,0.13148592941950132,0.06395348837209303,0.029571491044139177,0.13559322033898305,0.09406833776321565,0.21052631578947367,0.24029614915838
ATL3,0.10043668122270742,0.12287741859685306,0.23255813953488372,0.15476094340571622,0.20348837209302326,0.10212872323484255,0.1864406779661017,0.1401445875294655,0.3026315789473684,0.19004376026958852
RTN3,0.5065502183406113,0.9881656633293315,0.7142857142857143,1.2217606233285683,0.6453488372093024,0.7117357302094356,0.6610169491525424,0.9787310396862783,0.75,0.9408949190453214
C11orf95,0.2576419213973799,0.3878642774558333,0.3222591362126246,0.33187538855746995,0.22093023255813954,0.14496370430424438,0.2542372881355932,0.20783632790069181,0.15789473684210525,0.07671977834421526
SPINDOC,0.015283842794759825,0.02028783176376649,0.09966777408637874,0.054558051692551776,0.20930232558139536,0.10503849552547499,0.09322033898305085,0.04681295250967243,0.11842105263157894,0.05918964587197909
MARK2,0.14847161572052403,0.18871541007738152,0.2823920265780731,0.2445938412610772,0.3081395348837209,0.1763345016571154,0.2627118644067797,0.22301051527883256,0.3815789473684211,0.23270051859771443
RCOR2,0.002183406113537118,0.001810152639311157,0.036544850498338874,0.01702692231705478,0.10465116279069768,0.08035305319840844,0.1016949152542373,0.06856502435246199,0.06578947368421052,0.014822723203967237
NAA40,0.1331877729257642,0.1668631835981736,0.16611295681063123,0.11189104770433553,0.20930232558139536,0.16249463612043796,0.13559322033898305,0.06577726625262592,0.17105263157894737,0.06235235049647556
COX8A,0.962882096069869,6.121743720781416,0.9767441860465116,5.66267309414406,0.9651162790697675,4.5254976619646285,0.9915254237288136,5.439797582532952,1,7.8743283494944825
OTUB1,0.3537117903930131,0.5794445175744511,0.4883720930232558,0.5336391381670708,0.6104651162790697,0.6118111820005984,0.5,0.5349318685016226,0.631578947368421,0.5721063316266716
MACROD1,0.028384279475982533,0.028170557652843875,0.11627906976744186,0.043699065315610894,0.21511627906976744,0.10095837248723255,0.1440677966101695,0.11098406494813307,0.3157894736842105,0.27223302477235306
FLRT1,0,0,0,0,0,0,0.00847457627118644,0.001380134237376464,0.02631578947368421,0.013860718002842758
STIP1,0.2685589519650655,0.4437578530297945,0.3588039867109635,0.320742194766789,0.3953488372093023,0.28707680061793855,0.3644067796610169,0.267678395144209,0.5657894736842105,0.45667967137771515
FERMT3,0.008733624454148471,0.018361636632136007,0.009966777408637873,0.0020285930176998845,0.01744186046511628,0.0066452032662228785,0.025423728813559324,0.016085413058587367,0.13157894736842105,0.19309618733472084
TRPT1,0.3471615720524017,0.560717450582687,0.46179401993355484,0.44944690000426984,0.5581395348837209,0.4782774670355654,0.4406779661016949,0.461556223093582,0.5789473684210527,0.6016222674778731
