p_val,avg_logFC,pct.1,pct.2,p_val_adj
7.521376300071112e-10,0.9621847055119688,0.712,0,1.4149213095693776e-5
7.527027870235431e-10,1.2051535979363335,0.781,0.04,1.4159844829486893e-5
9.920648080643813e-10,-0.9097207616013518,0.844,0.92,1.866272316930714e-5
1.0216786914851355e-9,0.8262857741658856,0.987,0.84,1.9219819544218368e-5
1.3451517625210613e-9,1.0398051558143324,0.7,0,2.5304994956546206e-5
1.5398417844552692e-9,1.2962613183820801,0.739,0.04,2.8967503649172524e-5
1.628631802251014e-9,1.1323780262798022,0.696,0,3.063782146394607e-5
1.6317430650757796e-9,-0.6660198031834209,0.036,0.28,3.0696350540205565e-5
1.9729936863330582e-9,0.978331225097625,0.757,0.04,3.7115957227297494e-5
2.3783823874056426e-9,1.0904640067199125,0.688,0,4.4742129471874946e-5
2.5163431940772634e-9,-0.2702915902158076,0.005,0.12,4.7337448166981476e-5
2.5163431940772634e-9,-0.3417862938352998,0.005,0.12,4.7337448166981476e-5
2.584974212461886e-9,0.9744431476993967,0.965,0.56,4.8628534884832995e-5
2.751219777300141e-9,0.9878891635868339,0.925,0.36,5.1755946450570255e-5
2.8618364022281084e-9,0.9381428588754308,0.993,0.72,5.383686639871517e-5
3.0528818944625177e-9,0.9802832677754135,0.683,0,5.7430814198628885e-5
3.057942748728218e-9,1.0297240183394658,0.837,0.16,5.7526018989075236e-5
3.0674267544406168e-9,-1.466292602866052,0.341,0.72,5.770443210453688e-5
3.4726077397760933e-9,-0.6211959924416823,1,1,6.532669680066787e-5
3.826129774344772e-9,-1.0752646062934057,0.848,0.92,7.197715331497385e-5
3.8386114154327185e-9,-1.3635484549149868,0.611,0.84,7.22119579471203e-5
4.54463375932064e-9,-0.6779499240321805,0.988,1,8.549365028033987e-5
5.310888149951655e-9,0.9671590289948789,0.671,0,9.990842787689053e-5
5.927395306966824e-9,1.0081163404594495,0.735,0.04,1.1150616051465989e-4
6.1823934017455745e-9,0.8496531250631638,0.988,0.76,1.1630318467363775e-4
7.431725323876839e-9,0.8549227915098032,0.949,0.4,1.398056167927711e-4
8.402065540798602e-9,1.3827637949791698,0.704,0.04,1.580596569535033e-4
8.60747284890703e-9,0.8882276368235487,0.66,0,1.6192377923363906e-4
8.657997648950573e-9,1.04663987757544,0.781,0.08,1.6287425177205817e-4
9.269249659143338e-9,0.9028445488877398,0.729,0.04,0.00017437312458780448
9.810744623137945e-9,0.9849278101260295,0.721,0.04,1.8455972785047102e-4
1.15888221949164e-8,0.9146357667427322,0.653,0,2.180089231307673e-4
1.325312650095709e-8,0.6961577554666984,1,0.92,2.4931781573600477e-4
1.395344801436453e-8,1.1076250140846076,0.681,0.04,2.6249226404622555e-4
1.6398670208285373e-8,0.7813536429898955,0.967,0.6,3.0849178395826445e-4
1.720534335054005e-8,-0.42525676419188274,0.012,0.16,3.236669191103594e-4
1.852213479312258e-8,0.8338972838024303,0.643,0,3.48438399728222e-4
1.856755392804523e-8,0.931142065987306,0.748,0.08,3.492928244943869e-4
1.909218373365319e-8,0.8906055182576649,0.744,0.08,3.5916216039748376e-4
1.96432877459173e-8,0.8904278346382888,0.712,0.04,3.695295290761962e-4
1.9711795586203242e-8,1.00113542859656,0.685,0.04,3.708182985676554e-4
1.973187491496756e-8,-1.3569869784417319,0.405,0.72,3.7119603090036973e-4
2.067580597523694e-8,-1.5902116945551446,0.396,0.72,3.889532620061573e-4
2.2449053174049285e-8,0.6818808841302213,0.988,0.68,4.2231158831021514e-4
2.2817799310175417e-8,0.8802962359913692,0.7,0.04,4.292484406230199e-4
2.7486534737533167e-8,1.3629521317885431,0.796,0.16,5.170766914824739e-4
3.2740394650629665e-8,0.5841600927172639,1,0.88,6.159123041676452e-4
3.603660037340928e-8,0.8878753948061754,0.697,0.04,6.779205262245753e-4
3.689274934282846e-8,0.9197243446399016,0.695,0.04,6.94026400637289e-4
3.725158003515204e-8,0.7421820575092299,0.999,0.84,7.007767236212802e-4
3.75030582213907e-8,0.9576310722342536,0.793,0.12,7.055075312608019e-4
4.198570068975787e-8,-0.8634214525339514,0.032,0.24,7.89835001375725e-4
4.420803529812889e-8,0.8993882699989184,0.916,0.36,8.316415600284008e-4
4.480788624956127e-8,0.846151220165105,0.907,0.24,8.429259561267466e-4
6.095279548691665e-8,0.852627534261076,0.615,0,0.001146643988699876
8.332443703579673e-8,0.8912951428040041,0.885,0.24,0.0015674993095174082
8.953344641525784e-8,0.8096084092947565,0.605,0,0.0016843031939638305
9.346388419470705e-8,0.8108609507249862,0.921,0.44,0.001758242589470829
9.380631258456033e-8,-1.0060054089823585,0.144,0.48,0.001764684352340749
9.401962320453462e-8,0.9098134759084119,0.664,0.04,0.0017686971517237053
