gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PCMTD2,0.008313911317185747,0.7751214868725629,0.56,0.53,1
PEF1,0.001167153744595062,0.7636911990330021,0.56,0.398,1
OLFM3,0.05266727492317645,0.7593848790992063,0.36,0.262,1
ERP44,0.010196840516100371,0.752095872853592,0.44,0.301,1
ZNF326,0.0014746124704945389,0.7512762568465368,0.52,0.359,1
ENO1,8.683433046703443e-4,0.7495046237176023,0.68,0.6,1
RSL1D1,0.04543907217413225,0.7487944610273742,0.52,0.512,1
SRP72,2.0532719797578878e-4,0.7369762962838446,0.6,0.41,1
XRCC5,5.516396187293351e-6,0.7343373390200109,0.76,0.637,0.10377444507536253
TXNRD2,4.511884222231832e-5,0.7261031785945038,0.32,0.088,0.8487756598862523
ZC3H13,0.003401842342404654,0.723744359585029,0.56,0.458,1
FERMT2,0.03680038353402404,0.7227114989432696,0.48,0.435,1
CCT7,0.003578610165409442,0.7202799201697309,0.52,0.389,1
PTGR1,0.11162255520687298,0.7168270680227375,0.36,0.312,1
ATP5F1A,0.0011785770763675719,0.7154570332712138,0.76,0.845,1
ACTG1,2.1180717456641606e-10,0.710487076029434,1,1,3.984516567943419e-6
PDZK1IP1,3.331056372550007e-16,0.7101868583464388,0.24,0.007,6.266383248041073e-12
TMPO,0.006266901540507802,0.7095593198940359,0.28,0.12,1
LBHD1,6.199377631668467e-13,0.7073649952650802,0.2,0.007,1.1662269200694721e-8
EZR,0.044449065838347616,0.7054900971112419,0.64,0.711,1
TMEM123,0.016211153800218883,0.7024966938981059,0.44,0.336,1
LDLR,0.001643214288159001,0.6966484982239968,0.32,0.13,1
RGS10,3.3199722871629726e-4,0.6965717031573566,0.36,0.137,1
ACAT2,0.20155802027855707,0.6935659114416644,0.24,0.176,1
LGALS3,2.2906925594644038e-4,0.6920898073478852,0.24,0.06,1
NUCKS1,2.5884843274770963e-5,0.6901000280193521,0.88,0.833,0.48694567168499137
TMEM97,8.000737932578893e-4,0.689674635064138,0.24,0.069,1
CCT5,0.09683717744497909,0.6866901539248152,0.4,0.343,1
GSN,0.001107381131626236,0.6861983379079775,0.68,0.669,1
P4HA1,0.012957931875429558,0.6742154011330387,0.24,0.102,1
PPT1,0.05147814021465208,0.6732452457932496,0.4,0.317,1
PDIA4,0.3113663538879184,0.6692989169133275,0.36,0.384,1
TMEM98,0.21279467203495037,0.6689549334950462,0.44,0.479,1
MYL12A,0.0026988128827969155,0.6680407585792405,0.72,0.815,1
UROD,0.6732820208919452,0.6674661618130282,0.32,0.382,1
CTSD,3.911454718710299e-4,0.6666171695897843,0.72,0.606,1
DUSP10,0.01404230625873199,0.6646860439637166,0.24,0.102,1
CDKN1B,3.799984169582014e-4,0.6585364303096651,0.64,0.535,1
ANXA2,1.9132215969827253e-5,0.6568196927090248,0.96,0.972,0.3599152468243903
ACTB,1.516775606105881e-9,0.6547349107275826,1,1,2.8533582702063836e-5
TM9SF2,0.0015196778097591882,0.6547042888881531,0.56,0.419,1
MYADM,0.0036793485835510445,0.6502444822691091,0.24,0.083,1
G2E3,1.7306658840505457e-4,0.6475122831165063,0.32,0.1,1
ARPC4,0.7516772929652894,0.6451681660069827,0.32,0.414,1
CBS,7.345182830508311e-18,0.6413604254157217,0.28,0.009,1.3817757940752235e-13
CNN3,0.33168074310193874,0.6407897573044546,0.36,0.375,1
ADAM10,0.041348763606169806,0.6392085152783076,0.36,0.25,1
TUBB2A,0.23160055831907655,0.6355026355609465,0.56,0.741,1
TINF2,0.05107666652411279,0.6349242509506308,0.4,0.315,1
ZNF24,0.043814188046114554,0.630573914573524,0.44,0.37,1
KPNA2,0.17513320273310315,0.629261636612178,0.28,0.22,1
EBP,0.1418043970576163,0.6289822653744854,0.36,0.308,1
PTP4A1,0.03514373168678366,0.6259485573513177,0.28,0.155,1
APMAP,0.2818642010969578,0.6258923025450676,0.36,0.35,1
CDC42EP3,0.08935944825058073,0.6251996067096243,0.24,0.148,1
TROVE2,0.021947335636487594,0.6244132635626791,0.56,0.544,1
ITPA,0.010218527973992532,0.6199812124556667,0.44,0.294,1
KLK6,0.026088849848094543,0.6173898123835317,0.4,0.285,1
ARMH4,0.23439585676001462,0.612165363971712,0.52,0.588,1
PHACTR2,0.19200561542401468,0.611999783570568,0.32,0.28,1
VDAC3,0.01719310651980712,0.6118670247412107,0.52,0.451,1
N4BP2,0.009027614196259106,0.6060438433803208,0.52,0.391,1
DDX46,0.1121534970007448,0.6040822936711312,0.52,0.576,1
EHD4,0.005671615899456935,0.6034073530547116,0.36,0.19,1
LZIC,0.09611507885955096,0.601176885602733,0.28,0.19,1
CTSL,0.053787511369591166,0.5996411913868571,0.44,0.384,1
PPP2R2A,0.13061780297528935,0.5996257192343531,0.4,0.38,1
ERCC1,0.06385856325772424,0.5993433329796185,0.4,0.333,1
MYL9,7.307679535196984e-4,0.599202095659269,0.92,0.954,1
CCT3,2.76080812524538e-4,0.5962596015424824,0.72,0.655,1
MANF,0.07423128838883164,0.5957004364519038,0.44,0.391,1
DDIT3,0.1556062984183679,0.5942007689433455,0.28,0.215,1
WDR48,0.9341600004523262,0.5927800091638536,0.2,0.238,1
